CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,D001_01,D002_01,D003_01,D004_01,D005_01,D006_01,D007_01,D008_01,D009_01,D010_01,D011_01,D012_01,D013_01,D014_01,D015_01,D016_01,D017_01,D018_01,D019_01,D020_01,D021_01,D022_01,D023_01,D024_01,D025_01,D026_01,D027_01,D028_01,D029_01,D030_01,D031_01,D032_01,D033_01,D034_01,D035_01,D036_01,D037_01,D038_01,D039_01,D040_01,EX01_01,EX01_02,EX01_03,EX01_04,EX01_05,EX01_06,EX01_07,EX01_08,EX01_09,EX01_10,EX01_11,EX01_12,EX01_13,EX01_14,EX01_15,EX01_16,EX01_17,EX01_18,EX01_19,EX01_20,F001_01,F002_01,F003_01,F004_01,F005_01,F006_01,F007_01,F008_01,F009_01,F010_01,F011_01,F012_01,F013_01,F014_01,F015_01,F016_01,F017_01,F018_01,F019_01,F020_01,F021_01,F022_01,F023_01,F024_01,F025_01,F026_01,F027_01,F028_01,F029_01,F030_01,F031_01,F032_01,F033_01,F034_01,F035_01,F036_01,F037_01,F038_01,F039_01,F040_01,Q001_01,Q001_02,Q001_03,Q001_04,Q002_01,Q002_02,Q002_03,Q002_04,Q003_01,Q003_02,Q003_03,Q003_04,Q004_01,Q004_02,Q004_03,Q005,Q006,Q007_01,R001_CP,R001x01,R001x02,R001x03,R001x04,R001x05,R001x06,R001x07,R001x08,R001x09,R001x10,R001x11,R001x12,R001x13,R001x14,R001x15,R001x16,R001x17,R001x18,R001x19,R001x20,R001x21,R001x22,R001x23,R001x24,R001x25,R001x26,R001x27,R001x28,R001x29,R001x30,R001x31,R001x32,R001x33,R001x34,R001x35,R001x36,R001x37,R001x38,R001x39,R001x40,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME033,TIME034,TIME035,TIME036,TIME037,TIME038,TIME039,TIME040,TIME041,TIME042,TIME043,TIME044,TIME045,TIME046,TIME047,TIME048,TIME049,TIME050,TIME051,TIME052,TIME053,TIME054,TIME055,TIME056,TIME057,TIME058,TIME059,TIME060,TIME061,TIME062,TIME063,TIME064,TIME065,TIME066,TIME067,TIME068,TIME069,TIME070,TIME071,TIME072,TIME073,TIME074,TIME075,TIME076,TIME077,TIME078,TIME079,TIME080,TIME081,TIME082,TIME083,TIME084,TIME085,TIME086,TIME087,TIME088,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
91,,,avila,interview,4/12/23 21:18,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sad for her future. Nothing to look forward to.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,29,7,17,39,27,20,34,2,16,15,11,32,38,13,36,40,30,14,33,4,19,24,31,9,25,18,3,8,10,22,21,37,28,1,5,35,6,26,12,23,7,2109,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,4/12/23 21:55,0,0,15,60,0,0,0.54
92,,,avila,interview,4/12/23 21:22,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,She is a 5 year old girl,He is a 8 year old boy,She is a 2 year old girl,,He is a 4 year old boy,She is a 4 year old girl,,She is a 5 year old girl.,He's a 9 year old boy.,,She is a 3 year old girl,,He is a 12 year old boy,,,,He's a 6 year old boy,,He is a 3 year old boy,,,,She is a 4 year old girl,,She is a 2 year old girl,,,She is a 6 year old girl.,She is a 8 year old girl,She is a 5 year old girl,He is a 7 year old boy.,He is a 4 year old boy,This is a 18 month female,She is a 2 year old girl.,,,He is a 3 year old male,She is 2 year old girl,,She is a 2.5 year old girl.,2,6,2,2,4,3,4,2,5,6,3,3,5,6,2,4,5,5,4,2,,,,She is sad and upset.,,,He is playing a game with friends.,,,She is upset because she doesn't feel safe,,She is sad like she heard bad news (like her dog died).,,He's sad and scared like he just got a shot.,He is hungry and sad,She's teething so she's upset,,"He is acting strong, but he is really scared.",,She is playing on her own.,She is scared but feels comforted by her grandma.,He is watching animals,,He is posing for a school picture.,,He is worried about what he is seeing at his home.,He just finished eating.,,,,,,,,"He looks scared, like his household is unstable (parents fighting, parent laid off)","He's scared, but he's trying to be tough.",,,She is upset because she doesn't want to take a nap.,,Humbling,Random,Describe,Just in the task,3,3,2,4,4,4,4,2,Female,White,43,2,1,6,13,35,14,33,37,36,1,12,31,17,26,40,20,9,28,32,4,24,23,34,39,13,27,19,3,21,25,7,8,5,10,18,2,29,38,15,30,16,11,6,22,3,3,2,18,1,12,2,11,2,17,3,14,2,11,2,12,2,11,2,14,1,21,3,11,1,27,2,11,7,21,7,18,2,15,3,18,1,21,2,11,2,23,2,18,2,28,2,16,1,16,3,11,4,129,2,29,5,16,2,11,2,12,2,15,46,13,2,31,3,11,17,46,5,20,2,14,48,11,1,23,3,25,67,16,16,57,9,,980,,4/12/23 21:41,1,0,87,87,0,0,1.65
98,,,avila,interview,4/12/23 21:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,28,9,29,18,4,38,25,11,35,14,36,5,12,40,17,30,39,20,27,31,3,7,6,8,33,15,37,24,13,16,21,10,34,1,26,22,23,19,32,2,14,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,4/12/23 21:53,0,0,57,57,0,0,0.47
99,,,avila,interview,4/12/23 22:02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,1,5,3,4,5,5,2,5,3,5,1,3,5,5,3,6,"Guard is up, in survival mode, doesn't trust anyone","Guard is up, survival mode, acting brave because they have to be","Shocked, disbelief ",Concerned and questioning ,"Sad, disbelief ",Lonely ,Inquisitive ,Disbelief ,Bored ,Disappointed ,"Shy, unsure ",Disappointed ,"Exhausted, defeated ",Scared,"Pain, fear","Upset, sad",Hurt and sad,Unsure scared ,"Fear, pain, hurt, hunger ",Annoyed,Uncertainty ,Shy,Uncertainty ,"Shy, interested ",Hopeful ,Disbelief ,Concern ,Untrusting ,Bored ,"Alone, cold",Alone,"Nervous, scared, untrusting ",Sad but hopeful ,"Scared, sad, hurt, ","Shy, ","Confused, hurt",Determination,Anger and hurt,Brave,Alone ,Difficult ,Kept the same one the whole time,Yes,Don't know,1,1,1,1,5,5,5,2,Female ,White,50,7,5,2,16,17,1,36,34,2,5,3,4,30,33,13,40,15,21,37,23,19,31,16,38,7,14,22,9,28,10,32,11,29,18,35,25,12,8,27,6,24,20,39,26,69,98,4,140,5,81,5,23,6,30,6,47,4,24,6,39,4,36,7,12,22,16,6,29,4,23,5,87,6,21,4,1287,5,18,17,35,4,29,4,22,5,56,3,20,10,11,7,31,4,33,4,22,4,18,3,15,9,61,5,102,7,24,4,16,5,29,7,34,6,40,4,47,4,27,2,25,5,37,4,12,4,17,110,47,51,173,15,,1859,,4/12/23 22:59,1,0,87,87,0,0,0.83
101,,,avila,interview,4/12/23 22:09,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,A young Black male-appearing child in a blue sports shirt,,,,,,,,,,,,A young Black boy in a white shirt against a wood backdrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A child who is crying ,,,,,,,,,,,,,,,,,,,,,,17,35,23,37,28,12,4,33,38,22,27,11,29,2,21,26,39,34,7,16,1,14,6,32,3,20,10,36,5,30,24,19,17,40,15,31,8,9,18,13,25,21,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32,,,,,,,,,2,4,,,,,,,,,,,,,6,42,,,2,33,,,,,,,,,,,,,184,,4/12/23 22:12,0,0,57,76,0,0,1.05
104,,,avila,interview,4/12/23 22:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,33,11,4,6,1,35,14,16,10,3,21,13,15,34,30,12,32,2,40,26,22,18,23,24,8,25,38,19,9,36,27,37,17,39,31,7,5,20,28,29,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,38,,4/12/23 22:55,0,0,67,68,0,0,1.39
106,,,avila,interview,4/12/23 23:56,1,,,,1,2,2,1,,,,2,,,2,1,,,2,,1,,,,,1,,1,2,,,1,1,,,1,,,,2,This is a six year old boy.,,,,A young boy who is around 5 years of age.,,,This eight year old girl is sad.,,,,,,,,This is a male toddler.,,,,,This is a female child under the age of two.,,,,,This child is a girl of about 4 years of age.,,The girl is hanging out with family. She is under twelve years of age.,,,,This is a three year old boy.,The 18 month old girl has tears.,,,A five year old boy who is not smiling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This young girl is upset because her best friend didn't want to play with her.,The boy is curious about what is behind the curtain.,,,,,This child is sad due to a bad day at school.,,,This boy has just learned that his grandfather has passed away.,,,,This person is feeling pain and fear.,,,,,,,,,,The girl is tired of a long day of learning and playing in the rain.,,,,,,,,,,,A young child crying because he his Dad can't stay and play.,,,,,,,,,,,,,,,,,,,19,19,16,26,12,6,36,21,32,28,1,40,5,8,33,7,29,15,9,25,23,13,39,35,37,17,18,2,30,10,11,20,27,34,31,22,14,3,24,38,4,20,40,108,48,,,,,,,5,39,5,37,5,24,9,39,2,,,,,,4,31,,,,,6,38,5,37,,,,,9,29,,,4,26,,,,,,,,,5,58,,,6,42,5,32,,,,,7,19,11,34,,,,,3,21,,,,,,,40,51,,,,,,,748,,4/13/23 0:11,0,0,32,82,0,0,0.7
109,,,avila,interview,4/13/23 0:43,,1,2,1,,,,,,2,1,,,,,,,,,1,,,,,,,,,,,1,2,,,,,1,2,1,,,Adolescent male approximately 8-10 years of age after work or play. ,,Young male approximately 4 years old in some discomfort either physical or mental. ,,,,,,,Female approximately 5 years of age with colorful dress but appears sad. ,,,,,,,,,Young male approximately 3-4 years old near parent. ,,,,,,,,,,,Young adolescent gender androgynous possibly 6-9 yrs old. ,,,,,,"Young boy approximation 3 years old, tears streaming down face seeking something not at hand",,Male child approximately 5 years old with tears and running nose,,,,,,,,,,,,,,,,,,,,,,,,Complete surprise,,,,,,,Has been crying for a long period of time due to circumstances beyond their control,,,,,,,,,,,,,,,,,,,,,,Not feeling well due to illness or hunger. ,,,,,,Young toddler crying and upset but silently,,,,,,,,,,,,,,,,,,,,,20,3,4,2,32,31,20,38,39,11,10,37,5,25,7,14,18,19,17,33,30,27,24,34,26,23,22,9,21,12,35,16,6,40,28,1,13,36,8,29,15,19,5,,,5,63,12,35,5,41,5,,,,,,,,,,5,40,3,46,,,,,,,,,,,,,,,,,3,58,,,,,,,,,,,,,,,,,,,,,4,62,5,43,,,,,,,,,4,50,4,45,13,44,,,,,,,,,600,,4/13/23 0:53,0,0,11,80,0,0,0.71
112,,,avila,interview,4/13/23 1:57,1,,,1,2,,1,2,2,2,,1,2,1,,2,2,2,,,,,,,2,,,1,,1,1,1,,,1,,,,2,1,This is a three year old male ,,,This is a preschool aged male ,,,This is a picture of a toddler aged male ,,,,,This is a eight year old girl ,,This is a preschool aged female ,,,,,,,,,,,,,,This is a four year old girl ,,This is a young female ,Young person that may be male ,A young boy that looks about 7 years old. ,,,This is a four year old female ,,,,,This is a male toddler,,,,,,,,,,,,,,,,,,,,,,,,,This child looks overwhelmed ,,,This person is watching a sad show and reacting to a scene in the show ,This person looks like they are deep in thought about what they are seeing ,Disappointment and loss ,,,This a teenage male that is having a hard discussion with a parent ,,,This child looks tired and hungry ,This child looks like they lost their toy,This person is feeling a sense of confusion.  ,,,,,,,This child is upset about something ,,,,,,,,,,,,,,This person looks relaxed ,,,,,,,,,,,,,,,,,,,,21,10,31,32,39,40,17,30,16,9,8,7,4,25,35,13,18,12,14,5,28,1,2,15,24,27,11,33,36,26,34,21,19,3,6,38,20,29,22,23,37,11,14,2,13,2,,,,3,14,2,37,,,2,19,2,28,2,23,4,16,,,2,18,21,18,2,32,,,5,19,2,17,2,32,,,,,,,,,,,,,2,41,,,,,3,11,,,2,22,2,35,3,41,,,,,3,14,,,,,,,3,19,2,13,,,,,,,562,,4/13/23 2:06,0,0,4,82,0,0,1.29
116,,,avila,interview,4/13/23 1:58,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,This person is male and is 5 years old.,This person is male and is 8 years old.,This person is female and is 3 years old.,This person is male and is 5 years old.,This person is male and 4 years old.,This person is female and is 2 years old.,This person is male and is 3 years old.,,This person is male and is 7 years old,,This person is female and is 3 years old.,This person is female and 7 years old.,This person is male and is 8 years old.,This person is male and is 5 years old.,This person is male and is 6 years old.,This person is male and looks to be 3 or 4 years old.,This person is male and 5 years old.,,This person is male and is 5 years old.,This person is male and is 2 years old.,This person is male and is 3 years old.,This person is male and is 6 years old.,This person is male and is 6 years old.,This person is male and is 4 years old,This person is female and is 2 years old.,This person is male and is 2 years old.,,,This person is male and is 9 years old,This person is male and is 7 years old.,This peson is male and is 8 years old,This person is mail and approximately 7 years old.,This person is female and is 2 years old,,,This person is male and 4 years old.,,This person is male and is 1 year old,,this peson is male and is 2 years old.,2,7,2,1,2,2,1,1,1,7,1,3,6,7,1,6,7,6,5,2,,,,,,,,The person is feeling sad and desperate to be heard.,,This person is feeling sad and possibly frustrated.,,,,,,,,"This person feels sad, hopeless, and their basic needs are not being met.",,,,,,,,,"This person is feeling lost, tired, and not getting their basic needs met.",This person feels the world and others emotions on a very deep level.,,,,,,"This person feels sad, scared, and possibly confused. ",This person feels alone and not sure of the stranger approaching them.,,This person is holding onto their mother as their security blanket. ,,"This person is sad, scared, and lonely.",,Tedious,"More comfortable answering ""facts"" than ""feelings""",Yes,Describe felt more factural,2,2,1,5,3,4,3,3,Female,White,48,6,1,7,22,28,39,34,10,27,16,32,12,17,5,8,35,37,18,36,19,2,14,40,4,15,38,22,9,11,13,21,24,30,31,29,7,3,1,23,25,26,33,20,6,13,146,2,16,3,15,3,12,6,15,2,12,3,13,3,33,2,17,2,39,2,21,14,14,3,25,7,11,3,18,3,11,3,29,5,15,4,85,2,14,3,13,4,11,2,12,3,11,3,11,2,22,3,12,2,74,32,43,3,14,5,13,3,11,3,26,2,188,2,34,2,15,3,16,2,27,3,11,5,15,3,12,83,16,30,64,20,,1346,,4/13/23 2:23,1,0,87,87,0,0,1.35
